Date,Close,High,Low,Open,Volume
2023-10-31,30582.25,30769.19921875,30396.05078125,30765.25,12400
2023-11-01,30344.849609375,30694.44921875,30283.150390625,30609.44921875,10900
2023-11-02,30582.75,30731.55078125,30495.30078125,30575.80078125,12400
2023-11-03,30779.94921875,30924.849609375,30739.349609375,30797.25,11800
2023-11-06,30972.94921875,31034.150390625,30863.650390625,30955.349609375,9500
2023-11-07,30981.599609375,31052.5,30860.650390625,30949.94921875,9400
2023-11-08,30917.19921875,31128.900390625,30865.25,31049.75,11100
2023-11-09,30717.69921875,30993.05078125,30655.55078125,30982.650390625,20500
2023-11-10,30639.05078125,30680.849609375,30504.099609375,30623.69921875,12700
2023-11-13,30635.849609375,30810.349609375,30572.94921875,30793.650390625,8900
2023-11-15,31429.349609375,31472.5,30987.75,31095.80078125,24300
2023-11-16,32273.349609375,32453.650390625,31431.5,31555.099609375,26900
2023-11-17,32191.349609375,32405.849609375,32134.650390625,32288.900390625,16400
2023-11-20,32383.19921875,32600.349609375,32198.099609375,32202.30078125,15300
2023-11-21,32325.69921875,32587.150390625,32300.05078125,32507.75,12400
2023-11-22,32564.400390625,32583.44921875,32262.150390625,32298.0,11100
2023-11-23,32370.650390625,32688.0,32334.5,32657.150390625,14200
2023-11-24,32055.150390625,32420.44921875,32010.0,32341.0,11800
2023-11-28,32118.5,32187.94921875,31807.849609375,32115.849609375,14300
2023-11-29,32608.400390625,32633.0,32248.349609375,32258.5,18800
2023-11-30,32582.19921875,32701.650390625,32455.30078125,32569.80078125,39500
2023-12-01,32598.69921875,32729.80078125,32478.75,32729.80078125,13400
2023-12-04,32665.55078125,32888.19921875,32522.44921875,32888.19921875,16800
2023-12-05,32479.150390625,32755.19921875,32252.44921875,32754.0,19000
2023-12-06,33022.6015625,33073.05078125,32529.30078125,32560.150390625,25300
2023-12-07,32961.6015625,33111.6484375,32891.75,33053.6484375,16800
2023-12-08,33392.8984375,33452.3984375,33012.69921875,33098.6484375,25700
2023-12-11,33514.25,33615.69921875,33332.5,33424.0,16300
2023-12-12,33493.8984375,33799.80078125,33358.0,33484.80078125,19700
2023-12-13,33066.6484375,33497.44921875,32715.650390625,33466.30078125,23500
2023-12-14,34223.3515625,34308.55078125,33419.1015625,33451.94921875,44000
2023-12-15,35782.44921875,35947.6015625,34427.55078125,34427.55078125,67500
2023-12-18,35685.55078125,36132.0,35487.94921875,35707.30078125,27600
2023-12-19,35345.0,35762.1015625,35091.94921875,35728.3984375,20600
2023-12-20,34741.05078125,35928.5,34621.0,35492.80078125,32400
2023-12-21,34846.05078125,35020.0,34394.55078125,34406.80078125,19900
2023-12-22,35637.80078125,35770.44921875,34740.1484375,34974.6484375,39200
2023-12-26,35493.44921875,35682.6484375,35185.44921875,35421.1484375,40100
2023-12-27,35741.0,35814.69921875,35447.1015625,35557.30078125,22900
2023-12-28,35691.6484375,35850.3984375,35614.80078125,35812.0,21700
2023-12-29,35515.0,35781.1015625,35395.05078125,35559.3984375,18000
2024-01-01,35695.8984375,35890.75,35353.8515625,35496.3984375,17600
2024-01-02,35283.1015625,35701.80078125,35106.1484375,35668.05078125,18400
2024-01-03,34395.44921875,35076.94921875,34367.75,35039.05078125,24900
2024-01-04,34409.3984375,34800.3515625,34236.6015625,34552.94921875,26900
2024-01-05,34851.75,34991.55078125,34459.44921875,34469.69921875,24600
2024-01-08,34514.6484375,34881.80078125,34419.75,34876.6484375,15000
2024-01-09,34662.44921875,35139.3515625,34608.44921875,34926.6484375,18700
2024-01-10,34834.3515625,34941.0,34546.94921875,34693.0,16300
2024-01-11,34735.25,35104.94921875,34665.1015625,34978.30078125,21900
2024-01-12,36521.69921875,36581.1015625,35659.55078125,35673.0,67100
2024-01-15,37201.94921875,37929.30078125,37109.3515625,37538.44921875,99200
2024-01-16,36727.1015625,37132.3984375,36600.44921875,37132.3984375,28800
2024-01-17,36960.3984375,37107.19921875,36289.30078125,36299.6015625,35600
2024-01-18,36730.5,36826.44921875,36136.3984375,36784.3515625,34200
2024-01-19,37069.25,37263.94921875,36831.3515625,37065.0,24400
2024-01-23,36521.3515625,37383.44921875,36424.8984375,36958.30078125,31200
2024-01-24,37090.1484375,37174.19921875,36435.30078125,36761.6015625,23600
2024-01-25,36496.19921875,36938.6015625,36354.1015625,36938.6015625,30800
2024-01-29,36531.8984375,36653.25,36351.5,36553.80078125,18300
2024-01-30,36381.94921875,37022.8984375,36321.1015625,36682.1015625,19500
2024-01-31,36638.3984375,36704.5,36228.8515625,36373.94921875,25100
2024-02-01,36534.55078125,36951.3984375,36451.1484375,36632.5,18700
2024-02-02,37323.25,37663.94921875,36729.94921875,36730.1484375,26900
2024-02-05,37162.1484375,37574.44921875,37097.94921875,37441.0,15400
2024-02-06,38246.30078125,38286.0,37161.6015625,37267.1484375,36900
2024-02-07,37767.75,38373.44921875,37734.55078125,38345.3984375,17800
2024-02-08,37851.6015625,38101.5,37625.75,37893.44921875,20900
2024-02-09,37699.25,38082.05078125,37443.75,37891.5,16100
2024-02-12,37998.0,38285.3515625,37770.0,37770.0,38300
2024-02-13,38204.0,38258.5,37605.30078125,38070.3984375,20500
2024-02-14,37775.3984375,37844.69921875,37200.05078125,37724.75,23000
2024-02-15,37999.55078125,38270.44921875,37735.6015625,38053.30078125,19200
2024-02-16,38477.05078125,38516.55078125,38131.8515625,38211.55078125,29500
2024-02-19,38363.19921875,38559.8515625,38042.6484375,38526.94921875,17700
2024-02-20,38029.69921875,38347.8984375,37780.19921875,38190.75,15700
2024-02-21,37405.8984375,38001.44921875,37302.6015625,37938.8515625,18900
2024-02-22,38130.1484375,38192.1015625,37395.3515625,37535.75,23900
2024-02-23,38045.6484375,38490.44921875,37980.1015625,38487.5,22900
2024-02-26,37598.6484375,38005.8515625,37384.8984375,37991.8984375,14500
2024-02-27,37870.25,37929.30078125,37606.69921875,37606.69921875,17900
2024-02-28,37741.75,38138.3515625,37594.5,37926.6484375,14800
2024-02-29,37720.3984375,37896.05078125,37414.94921875,37616.19921875,26400
2024-03-01,37516.05078125,37888.8515625,37462.8515625,37823.69921875,18800
2024-03-04,37314.80078125,37733.25,37279.44921875,37634.25,14500
2024-03-05,36720.75,37202.30078125,36613.1015625,37180.05078125,18100
2024-03-06,37001.80078125,37050.1484375,36134.0,36627.6484375,20100
2024-03-07,37099.8984375,37318.94921875,36838.3515625,37057.94921875,20500
2024-03-11,36988.30078125,37203.8515625,36820.3515625,37082.0,21000
2024-03-12,37224.25,37568.94921875,36981.69921875,36991.5,20600
2024-03-13,36946.44921875,37556.6015625,36689.1015625,37320.80078125,21800
2024-03-14,37679.6015625,37723.3515625,36607.6484375,36901.8984375,26000
2024-03-15,37500.69921875,37592.05078125,37264.8984375,37524.3515625,30300
2024-03-18,36886.05078125,37522.8515625,36746.6015625,37458.8515625,14300
2024-03-19,35814.6484375,36573.05078125,35783.3984375,36562.0,25700
2024-03-20,35748.8984375,36115.19921875,35697.8515625,35875.6015625,15000
2024-03-21,36026.80078125,36296.3515625,35816.80078125,36039.19921875,26600
2024-03-22,35188.3984375,35419.25,34701.75,35256.6015625,48800
2024-03-26,34969.1015625,35400.1484375,34938.0,35003.1015625,29100
2024-03-27,34744.3515625,35121.55078125,34693.6015625,35057.3984375,22400
2024-03-28,34898.1484375,35203.25,34786.6484375,34862.6015625,35100
2024-04-01,35042.80078125,35265.30078125,34963.80078125,35224.0,16258200
2024-04-02,34793.94921875,34984.3515625,34769.8984375,34900.1484375,17500
2024-04-03,35047.3984375,35289.69921875,34626.19921875,34682.6015625,27300
2024-04-04,35426.69921875,35649.6015625,34915.1484375,35314.69921875,31100
2024-04-05,35247.8984375,35371.1015625,35146.5,35331.80078125,15000
2024-04-08,35064.1484375,35429.94921875,35018.6015625,35381.0,27200
2024-04-09,35079.3515625,35568.80078125,35002.80078125,35241.8984375,24200
2024-04-10,35293.1484375,35350.6015625,34952.25,35191.1484375,19200
2024-04-12,35018.1015625,35363.6015625,34980.8515625,35222.55078125,31900
2024-04-15,34463.6015625,35188.1484375,34335.1484375,34845.80078125,26100
2024-04-16,33574.94921875,34175.6015625,33504.3515625,34108.6015625,37500
2024-04-18,33498.6484375,34102.1484375,33445.3515625,33746.3984375,47200
2024-04-19,33368.30078125,33538.55078125,32915.5,33047.3515625,43300
2024-04-22,33538.80078125,33627.55078125,33341.6484375,33488.75,25300
2024-04-23,33714.55078125,33803.8515625,33614.25,33752.8515625,18900
2024-04-24,33442.55078125,33840.1015625,33393.6484375,33829.55078125,13400
2024-04-25,33554.44921875,33659.44921875,33283.44921875,33283.44921875,29000
2024-04-26,33666.25,34307.44921875,33574.6015625,33743.1015625,51300
2024-04-29,33579.3984375,33792.8515625,33527.05078125,33640.75,28000
2024-04-30,33200.94921875,33688.94921875,33145.8984375,33547.69921875,25700
2024-05-02,33203.3515625,33332.19921875,33059.30078125,33059.30078125,30400
2024-05-03,32908.3984375,33305.0,32690.5,33248.5,31100
2024-05-06,33217.1484375,33435.3515625,32990.80078125,33041.19921875,18200
2024-05-07,33473.0,33525.5,32998.19921875,33268.1484375,22600
2024-05-08,33335.1484375,33489.6484375,33237.1015625,33425.1484375,21700
2024-05-09,33205.8515625,33454.75,33006.94921875,33275.75,22500
2024-05-10,32935.1484375,33178.3984375,32786.55078125,33166.1015625,20700
2024-05-13,33074.6015625,33108.25,32669.25,32910.6484375,13000
2024-05-14,33122.8515625,33321.6015625,32918.69921875,33106.75,12900
2024-05-15,33117.3984375,33292.3515625,32986.05078125,33144.0,13700
2024-05-16,33668.44921875,33705.19921875,33208.25,33364.6484375,32600
2024-05-17,33381.8515625,33766.69921875,33361.0,33763.8515625,20200
2024-05-21,33379.75,33453.6015625,33191.75,33253.0,21300
2024-05-22,33613.1015625,33724.3515625,33364.1484375,33444.25,18800
2024-05-23,34042.8515625,34098.05078125,33615.3515625,33683.69921875,25500
2024-05-24,33824.30078125,34088.19921875,33761.69921875,34024.6484375,15500
2024-05-27,33995.25,34227.05078125,33769.8984375,33914.44921875,35800
2024-05-28,33880.8515625,34136.25,33802.05078125,34095.6484375,21800
2024-05-29,33542.69921875,33888.8984375,33515.1484375,33888.8984375,20700
2024-05-30,32806.75,33433.25,32685.349609375,33363.8984375,31500
2024-05-31,32386.099609375,32816.8515625,32280.80078125,32732.80078125,76700
2024-06-03,32511.400390625,33143.55078125,32455.80078125,33114.69921875,26500
2024-06-04,32315.55078125,32594.349609375,31320.150390625,32575.19921875,37300
2024-06-05,33087.94921875,33319.6015625,32410.80078125,32464.05078125,26600
2024-06-06,34023.80078125,34093.1484375,33343.0,33451.69921875,35900
2024-06-07,35169.8984375,35248.1015625,34256.30078125,34274.6015625,81900
2024-06-10,34526.25,35167.75,34360.6484375,35140.44921875,60800
2024-06-11,34531.44921875,34751.30078125,34483.3984375,34600.8515625,16900
2024-06-12,34547.44921875,35016.3984375,34505.8984375,34860.05078125,30300
2024-06-13,34902.05078125,35039.55078125,34783.19921875,34796.3984375,27000
2024-06-14,34598.55078125,35035.69921875,34568.8515625,35035.69921875,19200
2024-06-18,34802.94921875,34917.6484375,34655.8984375,34696.0,28600
2024-06-19,34927.1015625,35036.6484375,34604.05078125,34904.8984375,24000
2024-06-20,34936.44921875,35002.5,34728.6015625,35002.5,23900
2024-06-21,35200.30078125,35875.30078125,35061.0,35474.3515625,88800
2024-06-24,35143.80078125,35282.0,34918.1484375,35067.75,18100
2024-06-25,35426.8984375,35468.0,35004.8515625,35146.6484375,16000
2024-06-26,35406.6015625,35593.94921875,35336.0,35484.05078125,18200
2024-06-27,36123.69921875,36191.19921875,35105.69921875,35289.25,54800
2024-06-28,36157.5,36334.6484375,36041.19921875,36154.19921875,29200
2024-07-01,36869.19921875,37093.3515625,36085.44921875,36103.0,0
2024-07-02,37299.1484375,37525.44921875,36944.8984375,37006.3515625,0
2024-07-03,37314.3515625,37444.0,37064.0,37439.44921875,0
2024-07-04,37725.8984375,37935.1015625,37399.1015625,37455.6484375,32000
2024-07-05,37720.75,37884.6484375,37491.3984375,37754.1484375,20600
